"date" "item"
"2026-01-12" "Assumptions/uu-assumptions-013-nl/uu-assumptions-013-nl.Rmd"
"2026-01-12" "Assumptions/uu-assumptions-014-en/uu-assumptions-014-en.Rmd"
"2026-01-12" "Assumptions/uu-assumptions-014-nl/uu-assumptions-014-nl.Rmd"
"2026-01-12" "Assumptions/uu-assumptions-200-en/uu-assumptions-200-en.Rmd"
"2026-01-12" "Assumptions/uu-assumptions-200-nl/uu-assumptions-200-nl.Rmd"
"2026-01-12" "Assumptions/uu-assumptions-202-en/uu-assumptions-202-en.Rmd"
"2026-01-12" "Assumptions/uu-assumptions-202-nl/uu-assumptions-202-nl.Rmd"
"2026-01-12" "Assumptions/uu-assumptions-203-en/uu-assumptions-203-en.Rmd"
"2026-01-12" "Assumptions/uu-assumptions-203-nl/uu-assumptions-203-nl.Rmd"
"2026-01-12" "Assumptions/uu-communalities-006-en/uu-communalities-006-en.Rmd"
"2026-01-12" "Assumptions/uu-communalities-006-nl/uu-communalities-006-nl.Rmd"
"2026-01-12" "Assumptions/uu-homoscedasticity-008-en/uu-homoscedasticity-008-en.Rmd"
"2026-01-12" "Assumptions/uu-homoscedasticity-008-nl/uu-homoscedasticity-008-nl.Rmd"
"2026-01-12" "Assumptions/uu-homoscedasticity-020-en/uu-homoscedasticity-020-en.Rmd"
"2026-01-12" "Assumptions/uu-homoscedasticity-020-nl/uu-homoscedasticity-020-nl.Rmd"
"2026-01-12" "Assumptions/uu-levene's-test-001-en/uu-Levene's"
"2026-01-12" "Assumptions/uu-linearity-001-en/uu-linearity-001-en.Rmd"
"2026-01-12" "Assumptions/uu-linearity-001-nl/uu-linearity-001-nl.Rmd"
"2026-01-12" "Assumptions/uu-linearity-006-en/uu-linearity-006-en.Rmd"
"2026-01-12" "Assumptions/uu-linearity-006-nl/uu-linearity-006-nl.Rmd"
"2026-01-12" "Assumptions/uu-multicolinearity-001-en/uu-multicolinearity-001-en.Rmd"
"2026-01-12" "Assumptions/uu-multicolinearity-001-nl/uu-multicolinearity-001-nl.Rmd"
"2026-01-12" "Assumptions/uu-multicolinearity-002-en/uu-multicolinearity-002-en.Rmd"
"2026-01-12" "Assumptions/uu-multicolinearity-002-nl/uu-multicolinearity-002-nl.Rmd"
"2026-01-12" "Assumptions/uu-normality-011-en/uu-normality-011-en.Rmd"
"2026-01-12" "Assumptions/uu-normality-011-nl/uu-normality-011-nl.Rmd"
"2026-01-12" "Assumptions/uu-residual-plot-001-en/uu-residual-plot-001-en.Rmd"
"2026-01-12" "Assumptions/uu-residual-plot-001-nl/uu-residual-plot-001-nl.Rmd"
"2026-01-12" "Assumptions/uu-residual-plot-002-en/uu-residual-plot-002-en.Rmd"
"2026-01-12" "Assumptions/uu-residual-plot-002-nl/uu-residual-plot-002-nl.Rmd"
"2026-01-12" "Assumptions/uu-residualplot-007-en/uu-residualplot-007-en.Rmd"
"2026-01-12" "Assumptions/uu-residualplot-007-nl/uu-residualplot-007-nl.Rmd"
"2026-01-12" "Assumptions/uu-residualplot-010-en/uu-residualplot-010-en.Rmd"
"2026-01-12" "Assumptions/uu-residualplot-010-nl/uu-residualplot-010-nl.Rmd"
"2026-01-12" "Assumptions/uu-tolerance-020-en/uu-tolerance-020-en.Rmd"
"2026-01-12" "Assumptions/uu-tolerance-020-nl/uu-tolerance-020-nl.Rmd"
"2026-01-12" "Assumptions/uu-vif-001-en/uu-vif-001-en.Rmd"
"2026-01-12" "Assumptions/uu-vif-001-nl/uu-vif-001-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-assumptions-001-en/vufgb-assumptions-001-en.Rmd"
"2026-01-12" "Assumptions/vufgb-assumptions-001-nl/vufgb-assumptions-001-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-assumptions-002-en/vufgb-assumptions-002-en.Rmd"
"2026-01-12" "Assumptions/vufgb-assumptions-002-nl/vufgb-assumptions-002-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-assumptions-003-en/vufgb-assumptions-003-en.Rmd"
"2026-01-12" "Assumptions/vufgb-assumptions-003-nl/vufgb-assumptions-003-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-epsilon-001-en/vufgb-epsilon-001-en.Rmd"
"2026-01-12" "Assumptions/vufgb-epsilon-001-nl/vufgb-epsilon-001-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-homogeneityofvariance-001-en/vufgb-homogeneityofvariance-001-en.Rmd"
"2026-01-12" "Assumptions/vufgb-homogeneityofvariance-001-nl/vufgb-homogeneityofvariance-001-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-homogeneityofvariance-002-en/vufgb-homogeneityofvariance-002-en.Rmd"
"2026-01-12" "Assumptions/vufgb-homogeneityofvariance-002-nl/vufgb-homogeneityofvariance-002-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-homogeneityofvariance-003-en/vufgb-homogeneityofvariance-003-en.Rmd"
"2026-01-12" "Assumptions/vufgb-homogeneityofvariance-003-nl/vufgb-homogeneityofvariance-003-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-homogeneityofvariance-004-en/vufgb-homogeneityofvariance-004-en.Rmd"
"2026-01-12" "Assumptions/vufgb-homogeneityofvariance-004-nl/vufgb-homogeneityofvariance-004-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-homogeneityofvariance-005-en/vufgb-homogeneityofvariance-005-en.Rmd"
"2026-01-12" "Assumptions/vufgb-homogeneityofvariance-005-nl/vufgb-homogeneityofvariance-005-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-homogeneityofvariance-006-en/vufgb-homogeneityofvariance-006-en.Rmd"
"2026-01-12" "Assumptions/vufgb-homogeneityofvariance-006-nl/vufgb-homogeneityofvariance-006-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-homoscedasticity-001-en/vufgb-homoscedasticity-001-en.Rmd"
"2026-01-12" "Assumptions/vufgb-homoscedasticity-001-nl/vufgb-homoscedasticity-001-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-homoscedasticity-002-en/vufgb-homoscedasticity-002-en.Rmd"
"2026-01-12" "Assumptions/vufgb-homoscedasticity-002-nl/vufgb-homoscedasticity-002-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-levenestest-001-en/vufgb-levenstest-001-en.Rmd"
"2026-01-12" "Assumptions/vufgb-levenestest-001-nl/vufgb-levenstest-001-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-levenestest-002-en/vufgb-levenestest-002-en.Rmd"
"2026-01-12" "Assumptions/vufgb-levenestest-002-nl/vufgb-levenestest-002-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-levenestest-003-en/vufgb-levenestest-003-en.Rmd"
"2026-01-12" "Assumptions/vufgb-levenestest-003-nl/vufgb-levenestest-003-nl.Rmd"
"2026-01-12" "Assumptions/vufgb-levenestest-004-en/vufgb-levenestest-004-en.Rmd"
